Région	X	Y	diamètre	Nombre de départements dans la Région	Chef-lieu de région	Superficie (km²)	Population en 2019 	Densité (hab./km²)	Code INSEE5
Auvergne-Rhône-Alpes	714	648	192	12	Lyon	69 711	8 037 059	112	84
Bourgogne-Franche-Comté	690	471	162	8	Dijon	47 784	2 813 289	59	27
Bretagne	168	319	214	4	Rennes	27 208	3 336 643	120	53
Centre-Val de Loire	495	445	165	6	Orléans	39 151	2 582 522	66	24
Corse	1040	944	165	2	Ajaccio	8 680	337 796	37	94
Grand Est	748	279	213	10	Strasbourg	57 441	5 548 090	97	44
Hauts-de-France	575	169	177	5	Lille	31 806	6 023 336	189	32
Île-de-France	555	310	86	8	Paris	12 011	12 246 234	1 001	11
Normandie	378	210	233	5	Rouen	29 907	3 342 467	112	28
Nouvelle-Aquitaine	379	629	233	12	Bordeaux	84 036	5 994 336	70	75
Occitanie	539	850	271	13	Toulouse	72 724	5 903 190	79	76
Pays de la Loire	341	415	121	5	Nantes	32 082	3 787 411	115	52
Provence-Alpes-Côte d'Azur	813	823	181	6	Marseille	31 400	5 065 723	159	93
